TTema,Nr,Namnetype,Merknad,Nynorsk,Bokmål,Kvensk,Finsk,Engelsk,Prioritet
6500,204,Fløtningsannlegg,Kunstig fløtningsanlegg,Fløytingsanlegg,Fløtningsanlegg,Uittorustinki,kelluva alue,Floating area,90
6521,199,Kraftgate (Rørgate),Store tilførselsrør for kraftanlegg,Kraftgate,Kraftgate,Voimalinja,suuri voimalinja,Large power line,90
6600,154,Kai,"Større, fast bryggeanlegg",Kai,Kai,Pryky,laituri,Quay,80
6600,155,Brygge,"Mindre, fast bryggeanlegg",Bryggje,Brygge,Pryky,laituri,Pier,80
6600,156,Ferjelem,Ferjelem på kai for vegtrafikk,Ferjelem,Ferjelem,Lauttaplaatta,laituri,Ferry quay,90
6600,157,Utstikker,Flytende bryggeanlegg,Utstikkar,Utstikker,Haminapryky / Ulkopryky,kelluva laituri,Pier,90
6600,158,Sluse,Kunstig løfteanretning for båter i vassdrag,Sluse,Sluse,Venetpato,sulku,Lock,80
6600,160,Ankringsplass,F.eks. opplagsplass for store båter / skip,Ankringsplass,Ankringsplass,Ankkuripaikka,ankkurointipaikka,Anchoring berths,90
6600,195,Småbåthavn,Regulerte havneanlegg for småbåter,Småbåthamn,Småbåthavn,Pikku venheitten hamina,pienvenesatama,Small craft harbour,60
6600,205,Fiskeoppdrettsanlegg,"På land, i sjø og i ferskvann",Fiskeoppdrettsanlegg,Fiskeoppdrettsanlegg,Kalataras,kalankasvatuspaikka,Fish farm,90
6600,234,Stø,"Båtstø, båtplass i vannkanten uten naust",Stø,Stø,Valkama,laskeutumispaikka,Landing place,90
6604,236,Molo,"Fast byggverk, utstikkende voll i sjøen",Molo,Molo,Möljä,murtovesi,Breakwater,90
6701,129,Fyr(Fyrstasjon),Offisielt fyr og fyrstasjon langs kysten.,Fyr,Fyr,Fyyry,majakka,Light house,40
6702,130,Lykt (Fyrlykt),Offisiell og privat lykt / fyrlykt langs kysten og i innlandet.,Fyrlykt,Fyrlykt,Fyyrylyhty,majakan valo,Lantern,60
6703,272,Lanterne,"Offisiell og privat lanterne langs kysten og i innlandet, fast",Lanterne,Lanterne,Lyhty,lyhty,Lantern,90
6800,197,Oljeinstallasjon (Sjø),Stasjonære oljeinstallasjoner (faste og flytende),Oljeinstallasjon,Oljeinstallasjon,Öljyrustinki,öljynporaus merestä,Oil installation at sea,90
7000,140,Veg (Gate),?Formelle? veg / gatenavn ellers kode 240,Veg,Vei,Tie,tie/katu,Road,80
7000,149,Kryss (Veg/Gate),(For alle type veger),Kryss,Kryss,Tienristi,risteys,Intersection,90
7000,153,Parkeringsplass,Offentlig og privat,Parkeringsplass,Parkeringsplass,Parkkeerinkipaikka,"pysäköintipaikka,-alue",Car park,90
7000,203,Taubane,Uten persontrafikk Se også 193,Taubane,Taubane,Köysipaana,vaijerirata,Cableway,70
7000,232,Plass/torg,(I tettsted eller by),Plass,Plass,Aukkee,aukio/tori,Square,60
7000,240,Vegstrekning,"Fjellovergang, turiststrekning, f.eks. Kvænangsfjellet, Gamle Bynesveg, 
Friisvegen",Vegstrekning,Vegstrekning,Tie,"tie, maantie",Road,60
7101,219,Jernbanestrekning,Lang jernbanestrekning. F.eks. Ofotbanen; Bergensbanen,Jernbanestrekning,Jernbanestrekning,Rautatie,rautatie,Railway,90
7200,144,Farled/Skipslei,Normal strekning for skip f.eks. Trondheimsleia,Skipslei,Skipslei,Väylä,reitti,Fairway,60
7200,145,Ferjestrekning,Eksisterende ferjesamband som inngår i områdets samferdselsnett,Ferjestrekning,Ferjestrekning,Lauttareitti,laivareitti,Ferry,60
7312,192,Skiheis,Skitrekk og stolheis i skianlegg.,Skiheis,Skiheis,Hihtoheissi,laskettelurinteen hissi,Ski lift,60
7313,193,Fjellheis,Gondolbane.,Fjellheis,Fjellheis,Tunturiheissi,vuoristohissi,Gondola,60
7400,142,Traktorveg,Driftsveger for kjøretøyer hvor vegen ikke kan kjøres med vanlig bil.,Traktorveg,Traktorveg,Traktoritie,traktoritie,Dirt road,90
7400,143,Sti,"Stistrekning, sleper (gamle drifteveger), reindriftsveger",Stig,Sti,Polku,polku,Track,90
7400,220,Vad,"?Vassested? i elv, bekk vann eller sjø.",Vadestad,Vadested,Kaalama,joenylityspaikka,Ford,90
7450,231,Adressenavn,"Omfatter et område, ev. som supplement til gate- / veiadresse. (Kommunalt 
adresseområde)",Adressenamn,Adressenavn,Adressi,osoite,Place,50
7500,146,Bru,"Både for veg og jernbane. Angi ett punkt i hver ende for store bruer og ett 
midt på for små bruer.",Bru,Bro,Silta,silta,Bridge,60
7500,147,Klopp,Gangbru over sjø og ferskvann,Klopp,Klopp,Käymäsilta,kävelysilta,Footbridge,90
7500,148,Tunnel,"Vanlig tunnel, rasoverbygg, undergang. Både gangveg, veg og jernbane.",Tunnel,Tunnel,Tunneli,tunneli,Tunnel,80
7500,150,Vegbom,Mindre bomanlegg på privat veg,Vegbom,Vegbom,Tiekrinna,"puomi, tiepuomi",Road gate,90
7500,151,Bomstasjon,Større bomanlegg på offentlig veg,Bomstasjon,Bomstasjon,Tietulli,puomitettu tie,Road toll station,90
7500,152,Grind,Port i gjerde,Grind,Grind,Krinna,portti,Field gate,90
7500,161,Stasjon,Betjent stoppested for jernbane og trikk,Stasjon,Stasjon,Stašuuni,juna-asema,Railway station,60
7500,162,Holdeplass,Ubetjent stoppested for jernbane og trikk,Haldeplass,Holdeplass,Hollipaikka,junapysäkki,Railway stop,80
7500,163,Busstopp,Stoppested for rutegående vegtrafikk,Busstopp,Busstopp,Byssistoppi,bussipysäkki,Bus stop,80
7900,164,Flyplass,Landingsplass for rutegående flytrafikk og regulert privat flygning,Flyplass,Flyplass,Flyyikenttä,lentoasema,Airport,50
7911,165,Landingsstripe,Landingsplass for privat flygning,Landingsstripe,Landingsstripe,Flyyiraita,lentokenttä,Airfield,60
8000,196,Rørledning,"Alle typer rørledninger: Olje, gass, vann, etc.",Røyrleidning,Rørledning,Putkisto,putkisto,Pipeline,80
8000,198,Kraftledning,Vanligvis store overføringsledninger,Kraftleidning,Kraftledning,Voimaleetninki,voimajohto,Power line,90
8000,200,Kabel,Alle typer kabler i både sjø og ferskvann.,Kabel,Kabel,Kaapeli,kaapeli,Cable,90
8604,131,TV/Radio-mast,TV / Radio ?tårn Alle typer bakkebasert telekommunikasjon,Radiomast,Radiomast,TV- / raatiotorni,tv-/radiomasto,Radio mast,70
